Item,Calories,Sodium,Sugars
Hot Chocolate with Nonfat Milk (Small),0.148936,0.05,0.0304636
Hot Chocolate with Nonfat Milk (Medium),0.180851,0.0611111,0.0377483
Hot Chocolate with Nonfat Milk (Large),0.212766,0.0777778,0.0456954
Regular Iced Coffee (Small),0.0744681,0.00972222,0.0145695
Regular Iced Coffee (Medium),0.101064,0.0138889,0.0198675
Regular Iced Coffee (Large),0.143617,0.0208333,0.0298013
Caramel Iced Coffee (Small),0.0691489,0.00972222,0.0139073
Caramel Iced Coffee (Medium),0.0957447,0.0138889,0.018543
Caramel Iced Coffee (Large),0.138298,0.0180556,0.0278146
Hazelnut Iced Coffee (Small),0.0691489,0.00972222,0.013245
Hazelnut Iced Coffee (Medium),0.0957447,0.0138889,0.018543
Hazelnut Iced Coffee (Large),0.132979,0.0208333,0.0271523
French Vanilla Iced Coffee (Small),0.0638298,0.0111111,0.0125828
French Vanilla Iced Coffee (Medium),0.0904255,0.0152778,0.0172185
French Vanilla Iced Coffee (Large),0.12766,0.0222222,0.0258278
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0.0425532,0.0180556,0.000662252
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0.0638298,0.025,0.0013245
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0.0851064,0.0375,0.0013245
Iced Mocha (Small),0.154255,0.0347222,0.0225166
Iced Mocha (Medium),0.18617,0.0416667,0.0284768
Iced Mocha (Large),0.255319,0.0611111,0.0410596
Iced Mocha with Nonfat Milk (Small),0.12766,0.0347222,0.0231788
Iced Mocha with Nonfat Milk (Medium),0.154255,0.0416667,0.0284768
Iced Mocha with Nonfat Milk (Large),0.207447,0.0611111,0.0410596
Iced Caramel Mocha (Small),0.148936,0.0388889,0.0218543
Iced Caramel Mocha (Medium),0.180851,0.0472222,0.0271523
Iced Caramel Mocha (Large),0.244681,0.0694444,0.0390728
Iced Nonfat Caramel Mocha (Small),0.12234,0.0388889,0.0218543
Iced Nonfat Caramel Mocha (Medium),0.143617,0.0472222,0.0271523
Iced Nonfat Caramel Mocha (Large),0.196809,0.0694444,0.0390728
Frappé Mocha (Small),0.239362,0.0347222,0.0377483
Frappé Mocha (Medium),0.292553,0.0444444,0.0470199
Frappé Mocha (Large),0.356383,0.0527778,0.0582781
Frappé Caramel (Small),0.239362,0.0347222,0.0377483
Frappé Caramel (Medium),0.292553,0.0444444,0.0470199
Frappé Caramel (Large),0.356383,0.0527778,0.0582781
Frappé Chocolate Chip (Small),0.281915,0.0375,0.0443709
